"experiment","game","treatment","metric","simulation_mean","mc_se","mc_lower","mc_upper","n_seeds","seed_sd","seed_p10","seed_p90","snapshot_mean"
"longer","linear","AI","surplus",1.883909059245,0.0521591818909703,1.77273439470672,1.99508372378328,16,0.208636727563881,1.62717838542,2.147659140625,1.88150911458375
"longer","linear","AI","gini",0.0365409021341688,0.00326039535715564,0.0295915339318142,0.0434902703365233,16,0.0130415814286226,0.02076011092395,0.05191584621395,0.0367123405177875
"longer","linear","MI","group_relative_contribution",0.553189868164,0.00960868824019457,0.532709433981012,0.573670302346988,16,0.0384347529607783,0.5241457682295,0.6166647135415,0.555263671875
"longer","linear","MI","surplus",1.06433989257769,0.0183575045363821,1.025211797876,1.10346798727937,16,0.0734300181455286,1.00588697917,1.18053294271,1.06841308593694
"longer","linear","MI","gini",0.0873762542407625,0.00194537090992694,0.0832297942988535,0.0915227141826715,16,0.00778148363970776,0.07588020288655,0.09315648711295,0.0870422778623438
"longer","threshold","FE","group_relative_contribution",0.582775309244875,0.0194318545755794,0.541357291640373,0.624193326849377,16,0.0777274183023177,0.499861393229,0.709152408854,0.582722981770875
"longer","threshold","FE","surplus",0.239290445963688,0.0167974096148413,0.203487614873553,0.275093277053822,16,0.067189638459365,0.124180924479,0.30728359375,0.239477539062625
"longer","threshold","FE","gini",0.00582204395086437,0.000675719400964393,0.0043817821407529,0.00726230576097585,16,0.00270287760385757,0.00217328608589,0.008796656191755,0.00578083290159438
"longer","threshold","FE","success",0.98647890625,0.00532688624636435,0.975124916980938,0.997832895519062,16,0.0213075449854574,0.958075,1,0.986640625
"longer","threshold","AI","group_relative_contribution",0.481584871419206,0.0421603961826166,0.391722114135148,0.571447628703264,16,0.168641584730466,0.2024635416665,0.618333984375,0.481501464843813
"longer","threshold","AI","surplus",0.173069425455731,0.0436354021691823,0.0800627673319097,0.266076083579553,16,0.174541608676729,-0.11476894531265,0.3157556640625,0.173120930989625
"longer","threshold","AI","gini",0.128288666147244,0.0162942024972043,0.0935583956393187,0.163018936655169,16,0.0651768099888171,0.08980457363905,0.254041404802,0.128312164523144
"longer","threshold","AI","success",0.78558515625,0.0976081335143205,0.577538344427964,0.993631968072036,16,0.390432534057282,0.00340625,1,0.785546875
"longer","threshold","MI","group_relative_contribution",0.535395271809875,0.0126656225727735,0.508399136332905,0.562391407286845,16,0.0506624902910939,0.498681640625,0.607517122396,0.53531982421875
"longer","threshold","MI","surplus",0.2688579833985,0.0127702642871469,0.241638809386983,0.296077157410017,16,0.0510810571485876,0.206413151042,0.3144567708335,0.268911946614563
